2022-11-27 11:59:32.458  INFO 42456 --- [main] com.chenx.command.CommandApplication     : Starting CommandApplication using Java 1.8.0_345 on chenxiaoweideMac-mini-2.local with PID 42456 (/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes started by daguniang in /Users/daguniang/IDEASPACE/HOME/CommandManage)
2022-11-27 11:59:32.459 DEBUG 42456 --- [main] com.chenx.command.CommandApplication     : Running with Spring Boot v2.6.8, Spring v5.3.20
2022-11-27 11:59:32.459  INFO 42456 --- [main] com.chenx.command.CommandApplication     : No active profile set, falling back to 1 default profile: "default"
2022-11-27 11:59:32.459 DEBUG 42456 --- [main] o.s.boot.SpringApplication               : Loading source class com.chenx.command.CommandApplication
2022-11-27 11:59:32.478 DEBUG 42456 --- [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2dc54ad4
2022-11-27 11:59:32.486 DEBUG 42456 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2022-11-27 11:59:32.492 DEBUG 42456 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2022-11-27 11:59:32.525 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/config/SwaggerConfiguration.class]
2022-11-27 11:59:32.531 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/controller/CommandController.class]
2022-11-27 11:59:32.532 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/facade/CommandFacade.class]
2022-11-27 11:59:32.536 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/CommandArgServiceImpl.class]
2022-11-27 11:59:32.536 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/CommandGroupRelationServiceImpl.class]
2022-11-27 11:59:32.537 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/CommandGroupServiceImpl.class]
2022-11-27 11:59:32.537 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/CommandInstanceArgServiceImpl.class]
2022-11-27 11:59:32.537 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/CommandInstanceServiceImpl.class]
2022-11-27 11:59:32.537 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/CommandServiceImpl.class]
2022-11-27 11:59:32.537 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/EnvironmentServiceImpl.class]
2022-11-27 11:59:32.538 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/daguniang/IDEASPACE/HOME/CommandManage/target/classes/com/chenx/command/sevice/impl/EnvironmentVariableServiceImpl.class]
2022-11-27 11:59:32.550 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/daguniang/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/web/OpenApiControllerWebMvc.class]
2022-11-27 11:59:32.552 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/daguniang/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasVendorExtensionsMapperImpl.class]
2022-11-27 11:59:32.553 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/daguniang/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/StyleEnumMapperImpl.class]
2022-11-27 11:59:32.553 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/daguniang/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/SecuritySchemeMapperImpl.class]
2022-11-27 11:59:32.553 DEBUG 42456 --- [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/Users/daguniang/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasSecurityMapperImpl.class]
